Chemical_ID,End_Point,X_vals,Y_vals
62,AXIS,NULL,NULL
62,DP24,NULL,NULL
62,SM24,NULL,NULL
53,NC__,NULL,NULL
53,MO24,NULL,NULL
53,DP24,NULL,NULL
53,SM24,NULL,NULL
53,MORT,NULL,NULL
53,NC__,NULL,NULL
53,MO24,NULL,NULL
53,DP24,NULL,NULL
53,SM24,NULL,NULL
53,MORT,NULL,NULL
53,NC__,NULL,NULL
53,MO24,NULL,NULL
53,DP24,NULL,NULL
53,SM24,NULL,NULL
53,MORT,NULL,NULL
53,NC__,NULL,NULL
53,MO24,NULL,NULL
53,DP24,NULL,NULL
53,SM24,NULL,NULL
53,MORT,NULL,NULL
53,NC__,NULL,NULL
53,MO24,NULL,NULL
53,DP24,NULL,NULL
53,SM24,NULL,NULL
53,MORT,NULL,NULL
53,NC__,NULL,NULL
53,NC__,NULL,NULL
53,MO24,NULL,NULL
53,DP24,NULL,NULL
53,SM24,NULL,NULL
53,MORT,NULL,NULL
53,NC__,NULL,NULL
53,MO24,NULL,NULL
53,DP24,NULL,NULL
53,SM24,NULL,NULL
53,MORT,NULL,NULL
53,NC__,NULL,NULL
53,MO24,NULL,NULL
53,DP24,NULL,NULL
53,SM24,NULL,NULL
53,MORT,NULL,NULL
53,NC__,NULL,NULL
53,MO24,NULL,NULL
53,DP24,NULL,NULL
53,SM24,NULL,NULL
53,MORT,NULL,NULL
