"Sample_ID","SampleNumber"
"101","C51699"
"102","C70813"
"103","C85449"
"127","10AUG09-01-003"
"130","10JUL11-01-001"
"131","10JUN13-01-001"
"132","10MAY17-01-001"
"135","10OCT18-03-001"
"136","10SEP11-01-001"
"177","10JUL29-01-013"
"452","10JUL29-01-004"
"495","10JUL29-01-003"
"669","10JUL29-01-005"
"719","10JUL29-01-006"
"723","10JUL29-01-007"
"744","10JUL29-01-012"
"792","A130475"
"793","A130485"
"794","A130502"
"795","A130512"
"796","A130527"
"797","A140383"
"798","A140384"
"799","A140385"
"800","A140386"
"839","A150260"
"858","A150396"
"889","A160139"
"890","A160140"
"891","A160141"
"1004-1","10JUL11-01-003"
"1004-2","10JUN13-01-003"
"1004-3","10MAY17-01-003"
"1004-4","10SEP11-01-003"
"1008-1","A110069"
"1008-2","A110288"
"1009","A110143"
"1035","C27391"
"1036","C79877"
"1037","C22472"
"1038","C39886"
"1426","10JUL29-01-001"
"1427","A090001"
"1428","10JUL29-01-002"
"1429","A090003"
"1431-1","10OCT28-01-001"
"1431-2","10SEP02-01-001"
"1431-3","10SEP02-01-002"
"1431-4","10SEP30-01-001"
"1432-5","10OCT28-01-002"
"1432-6","10SEP30-01-002"
"1456","A090057"
"1458","A090059"
"1514","C58694"
"1515","C31199"
"1516","C49039"
"1517","C57488"
"1518","C85418"
"1519","C67584"
"1520","C02470"
"1521","C08657"
"1864-1","A110070"
"1864-2","A110289"
"2066-1","10JUL11-01-007"
"2066-2","10JUN13-01-007"
"2066-3","10MAY17-01-007"
"2066-4","10SEP11-01-007"
"2071-1","A110067"
"2071-2","A110286"
"2072-1","A110141"
"2072-2","10OCT18-03-004"
"2235-1","10AUG09-01-005"
"2235-2","10JUL11-01-005"
"2235-3","10JUN13-01-005"
"2235-4","10MAY17-01-005"
"2235-5","10SEP11-01-005"
"2236","A110287"
"2509","C26650"
"2792-1","10OCT28-01-014"
"2792-2","10SEP02-01-014"
"2793","A090025"
"2794","A090063"
"2795","A090007"
"2796-1","10OCT28-01-004"
"2796-2","10SEP02-01-004"
"2796-3","10SEP30-01-004"
"2797","A090005"
"2798-1","10OCT28-01-003"
"2798-2","10SEP02-01-003"
"2798-3","10SEP30-01-003"
"2799","A090009"
"2800","A090065"
"2801","10SEP30-01-039"
"2802","A090069"
"2803","A090013"
"2804-1","10OCT28-01-005"
"2804-2","10SEP02-01-005"
"2804-3","10SEP30-01-005"
"2805-1","A090061"
"2805-2","A090071"
"2805-3","A090072"
"2805-4","A090073"
"2805-5","A090074"
"2805-6","A090075"
"2805-7","A090081"
"2806-1","A090018"
"2806-2","A090019"
"2806-3","A090017"
"2807-1","10OCT28-01-006"
"2807-2","10SEP02-01-006"
"2808","A090067"
"2809","A090011"
"2810-1","10OCT28-01-013"
"2810-2","10SEP02-01-013"
"2810-3","10SEP30-01-013"
"2915","C93545"
"2917","C18372"
"2918","C34463"
"2921","C82136"
"3322","C415033"
"3324","C106563"
"3325","C189231"
"3326","C20559"
"3330","C302146"
"3331","C564451"
"3332","A181010"
"3333","A181017"
"3334","A181011"
"3335","A181014"
"3336","A181015"
"3337","A181016"
"3338","A181036"
"3339","A181038"
"3340","A181037"
"3341","A181043"
"3342","A181039"
"3343","A181044"
"3344","A181045"
"3345","A181055"
"3346","A181046"
"3347","A181058"
"3348","A181056"
"3349","A181059"
"3350","A181064"
"3351","A181063"
"3352","A181219"
"3353","A181220"
"3354","A181232"
"3355","A181233"
"3356","A181284"
"3357","A181285"
"3358","A191582"
"3359","A191584"
"3360","A191583"
"3361","A191586"
"3362","A191585"
"3363","A191587"
"3364","A191589"
"3365","A191588"
"3366","A191591"
"3367","A191590"
"3368","A191592"
"3369","A191594"
"3370","A191593"
"3371","A191595"
"3372","A191598"
"3373","A191597"
"3374","A191600"
"3375","A191599"
"3376","A191619"
"3377","A191621"
"3378","A191620"
"3379","A191622"
"3380","A191624"
"3381","A191623"
"3382","A191626"
"3383","A191625"
"3384","A191629"
"3385","A191628"
"3386","A191632"
"3387","A191631"
"3388","A191633"
"3389","A191635"
"3390","A191634"
"3391","A191639"
"3392","A191636"
"3393","A191646"
"3394","A191640"
"3395","A191648"
"3396","A191647"
"3397","A191770"
"3398","A191649"
"3399","A191781"
"3400","A191771"
"3401","A191792"
"3402","A191782"
"3403","A191802"
"3404","A191793"
"3405","A191803"
"3406","A201190"
"3407","A201189"
